"","dataset","model","n","nfreeparams","param_h","param_m","param_b","param_h_lower","param_h_upper","param_m_lower","param_m_upper","param_b_lower","param_b_upper","rep","h_randomized_mean","h_randomized_lower_CI","h_randomized_upper_CI","m_randomized_mean","m_randomized_lower_CI","m_randomized_upper_CI","b_randomized_mean","b_randomized_lower_CI","b_randomized_upper_CI","r2_OO","r2_OR_mean","r2_OR_sd","r2_RR_mean","r2_RR_sd"
"45","Pure birth simulation (total time)","hm0",25000,2,0.332362281824451,6.31862414923318e-05,0,0.31843266996164,0.34607610533126,5.88223974927295e-05,6.75799597204138e-05,0,0,"Original",5.92986350564185,5.77370081442003,6.0805238449227,1.11226279011105e-05,1.0236610501513e-05,1.19856209059348e-05,0,0,0,0.0155382583196422,0.0144184861123805,4.84649760368616e-05,0.180107202235396,0.00394640320950509
"46","Pure birth simulation (total time)","00b",25000,1,0,0,0.100152017121928,0,0,0,0,0.0982652909221364,0.102033932402814,"Original",0,0,0,0,0,0,0.569813005539285,0.562452570110497,0.577706506796275,0,0,0,0,0
"47","Pure birth simulation (total time)","h0b",25000,2,-0.119475654032109,0,0.113303762263595,-0.133085227179031,-0.107384093194225,0,0,0.11107586891638,0.115748797777057,"Original",5.28713868536181,5.08142277736254,5.49781158672504,0,0,0,0.10173411160657,0.0933703840528127,0.111238667934458,0.0205038114708081,0.0149232710320474,7.47501475122058e-05,0.179503979018383,0.00398963246789593
"48","Pure birth simulation (total time)","0mb",25000,2,0,1.30424751441068e-06,0.0999014796105897,0,0,4.71828946021793e-08,1.37594527243645e-06,0.0982642606243718,0.101901558143683,"Original",0,0,0,-0.000145745551787649,-0.000146706221152825,-0.00014484390580406,0.600865985390829,0.593344852340302,0.608976336911527,4.63144203352914e-05,2.8932793114903e-05,4.43698690719686e-08,0.0203061623648652,0.000153921203866482
"49","Pure birth simulation (total time)","hmb",25000,3,-0.128436872290844,-6.47134137914119e-06,0.115613072419688,-0.142598700573438,-0.112903207610831,-1.01586081421524e-05,-3.42832416879792e-06,0.112838708222161,0.118241173287815,"Original",5.16382958287695,4.93398313225587,5.38040134772452,-4.69884022180424e-05,-5.23927609953081e-05,-4.20662292930128e-05,0.12302341794795,0.112263529959937,0.135708563095127,0.0216854118151125,0.0144113032869913,4.33561012438686e-05,0.180459181235381,0.0039110296943145
"50","Pure birth simulation (no zeros)","h00",17108,1,1.45692371333585,0,0,1.43611565180518,1.47779136872274,0,0,0,0,"Original",7.75173640392211,7.75173624315373,7.75173675602058,0,0,0,0,0,0,0.573747070392025,0.573747070392025,5.68956818536901e-17,0.302295396267667,0.00472131505906331
"51","Pure birth simulation (no zeros)","0m0",17108,1,0,0.0115868759422453,0,0,0,0.0112354547321563,0.011949026525358,0,0,"Original",0,0,0,0.0616493323571282,0.0616493246886669,0.0616493432885473,0,0,0,0.573747070392025,0.573747070392025,6.40987562127855e-17,0.302295396267667,0.00472131505906331
"52","Pure birth simulation (no zeros)","hm0",17108,2,0.784017046950758,0.00225094846114513,0,0.775392618054919,0.792225258641691,0.0022149634871633,0.00228679174861289,0,0,"Original",7.75413347298977,7.63518765953159,7.86609028907009,-4.32343069656684e-06,-0.000247917042953842,0.000259775617959095,0,0,0,0.670129580057863,0.573620762136175,0.00309411518480682,0.302281410504825,0.00472108468522882
"53","Pure birth simulation (no zeros)","00b",17108,1,0,0,0.129927626398931,0,0,0,0,0.128431474128814,0.131406078952268,"Original",0,0,0,0,0,0,0.691295427655698,0.691295412564562,0.69129546712615,0,0,0,0,0
"54","Pure birth simulation (no zeros)","h0b",17108,2,0.473058484358831,0,0.0743946409704184,0.465093053548149,0.482167781440928,0,0,0.0733838653853582,0.0753316271431677,"Original",7.75666392257016,7.55989659066919,7.92851464181929,0,0,0,-0.000269581773889722,-0.0104988560828504,0.0115651158508607,0.671003814993926,0.573635452656384,0.00222202597439628,0.302289438714366,0.00472105206739128
"55","Pure birth simulation (no zeros)","0mb",17108,2,0,-0.00210873455138466,0.1686325909539,0,0,-0.00216865800995165,-0.00204069522718014,0.166431937101596,0.170254880033841,"Original",0,0,0,-0.0219260886365501,-0.0222137379907048,-0.0216915213727726,1.14573542261766,1.13929846918046,1.15369004624421,0.244521318806702,0.170017416149861,0.00129017577705764,0.181427944764511,0.00427643986396101
"56","Pure birth simulation (no zeros)","hmb",17108,3,0.576646240455524,0.00092770475597024,0.0455604293232896,0.563339413202935,0.590335761014456,0.000847077065628381,0.00101033692210214,0.0429416514081441,0.0482145464581915,"Original",7.75802420623857,7.3739361561882,8.09901920907519,6.2140143201271e-06,-0.00122759801830604,0.000984733635835609,-0.000484904917914797,-0.0462480953099619,0.0564538013122733,0.689884244987912,0.573578690441107,0.00457626355640405,0.302247005357553,0.00472160743170702
