Clade.name,Clade.age,N.tips,Clade.size,study_code,tree_file,neglnL,lambda,mu,net.div,turn,ef,lambda_lower,mu_lower,net.div_lower,turn_lower,ef_lower,lambda_upper,mu_upper,net.div_upper,turn_upper,ef_upper,tot_bl
Quercus,50.2,150,207,HI2017.tr.cr.pr,henaodiaz_etal_trees-master//phylo_HI2017.tr.cr.pr_.txt,522.681394,0.092545714,5.896099593927e-07,0.092545125,0.092546304,6.37101311913482e-06,0.073986306,5.29865232879858e-07,0.064803953,0.083168659,6.371013e-06,0.115535699,0.012755963,0.115534962,0.115536435,0.124108817,1954.575929
Sebastes,8,99,107,I2011,henaodiaz_etal_trees-master//phylo_I2011_.txt,196.1323536,0.373649905,3.81933383426562e-06,0.373646086,0.373653725,1.02216908904311e-05,0.236526649,3.16914243326634e-06,0.163009183,0.310044115,1.022169e-05,0.600942812,0.142496639,0.600936669,0.600948955,0.310821068,271.1167289
Anolis,81.2,216,415,I2016.pr,henaodiaz_etal_trees-master//phylo_I2016.pr_.txt,918.8739633,0.048493965,2.71960987007237e-07,0.048493693,0.048494237,5.60814089652012e-06,0.037839763,2.37646546693238e-07,0.033304008,0.042375518,5.608141e-06,0.059960407,0.006418028,0.05996007,0.059960743,0.119867429,6237.995717
Heliconia,38.7,169,194,IL2017.tr.cr.pr,henaodiaz_etal_trees-master//phylo_IL2017.tr.cr.pr_.txt,576.5216311,0.091932915,4.47763151674355e-16,0.091932915,0.091932915,4.87054231322684e-15,0.069189968,3.79977466693079e-16,0.060364498,0.078015438,4.870542e-15,0.115374498,0.013051701,0.115374498,0.115374498,0.127554186,1974.541964
Cathartidae,6.1,7,7,J2016.tr.cr.pr,henaodiaz_etal_trees-master//phylo_J2016.tr.cr.pr_.txt,13.42705271,0.185368315,1.40739143558774e-16,0.185368315,0.185368315,7.59240561620672e-16,0.016549337,4.60347806513419e-17,-0.979114077,0.060632665,7.592406e-16,2.1561094,1.567611738,2.1561094,2.1561094,2.663751855,26.97332608
Amnirana,36.7,11,12,J2018.cr.pr,henaodiaz_etal_trees-master//phylo_J2018.cr.pr_.txt,34.60050144,0.039903835,5.17106679297526e-17,0.039903835,0.039903835,1.2958821574534e-15,0.00670617,2.06235017193579e-17,-0.035612498,0.015914645,1.295882e-15,0.226495321,0.13105391,0.226495321,0.226495321,1.373134658,226.9251688
Corvides,30.1,667,780,JO2016.tr.pr,henaodiaz_etal_trees-master//phylo_JO2016.tr.pr_.txt,1964.80545,0.152731827,6.35367519875526e-16,0.152731827,0.152731827,4.16002041978496e-15,0.128752458,5.94449622699797e-16,0.11460906,0.142895857,4.16002e-15,0.182484519,0.018061764,0.182484519,0.182484519,0.109849541,4724.770434
Coniferophyta; Pinidae,328.2,489,629,L2012.pr,henaodiaz_etal_trees-master//phylo_L2012.pr_.txt,1792.858208,0.201885883,0.195004689,0.006881194,0.396890572,0.96591543,0.164255243,0.15793387,0.000869809,0.327640677,0.930627785,0.246237717,0.23706566,0.017082056,0.475393378,0.994704529,10031.57356
Rhododendron section Vireya,55,65,200,L2013,henaodiaz_etal_trees-master//phylo_L2013_.txt,220.0441167,0.462318234,0.432124529,0.030193705,0.894442763,0.934690646,0.234217166,0.207078083,-0.011647169,0.471846781,0.782109382,0.903692881,0.811063365,0.196906201,1.610479562,1.014569593,834.5011445
Agama,23.2,42,45,L2014.pr,henaodiaz_etal_trees-master//phylo_L2014.pr_.txt,125.7738682,0.121378154,8.67202876561215e-16,0.121378154,0.121378154,7.14463719258022e-15,0.051826854,6.30947924782288e-16,0.015343004,0.088310704,7.144637e-15,0.341859337,0.141232536,0.341859337,0.341859337,0.70395648,342.3608031
